,months_causal,total_months,causality_strength,stability_score
FZROX_high,0,49,[],0.0
BTC_high,0,49,[],0.0
SSEC.INDX_open,0,49,[],0.0
EURCAD_open,0,49,[],0.0
EURAUD_open,0,49,[],0.0
ADA_adjusted_close,0,49,[],0.0
SLV_close,0,49,[],0.0
EURAUD_high,0,49,[],0.0
GOOGL_adjusted_close,2,49,"[np.int64(2), np.int64(2)]",1.0
FZROX_low,0,49,[],0.0
MSFT_high,0,49,[],0.0
BAC_adjusted_close,4,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",1.0
WEAT_adjusted_close,0,49,[],0.0
CHFJPY_close,4,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",1.0
GOOGL_open,1,49,[np.int64(2)],0.0
PG_close,0,49,[],0.0
SWTSX_low,0,49,[],0.0
JPM_low,0,49,[],0.0
ADA_high,0,49,[],0.0
UNG_open,0,49,[],0.0
XLK_volume,1,49,[np.int64(2)],0.0
DOGE_open,0,49,[],0.0
EURJPY_low_fract,0,49,[],0.0
TSLA_volume,0,49,[],0.0
VTSAX_close,0,49,[],0.0
USDCHF_open,0,49,[],0.0
ADA_close,0,49,[],0.0
PG_low,0,49,[],0.0
USDCHF_low,0,49,[],0.0
EURUSD_low_fract,0,49,[],0.0
USO_adjusted_close,0,49,[],0.0
LINK_high,0,49,[],0.0
AVGO_open,0,49,[],0.0
EFA_high,1,49,[np.int64(2)],0.0
VXN.INDX_high,0,49,[],0.0
BTC_low,0,49,[],0.0
UNH_low,0,49,[],0.0
NDX.INDX_low,0,49,[],0.0
META_low,0,49,[],0.0
CSCO_high,0,49,[],0.0
WEAT_open,0,49,[],0.0
GLD_adjusted_close,0,49,[],0.0
CMCSA_volume,1,49,[np.int64(2)],0.0
AUDCAD_high_fract,1,49,[np.int64(2)],0.0
VXN.INDX_close,1,49,[np.int64(2)],0.0
ETH_adjusted_close,4,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",1.0
DIA_adjusted_close,0,49,[],0.0
USDJPY_high_fract,0,49,[],0.0
CMCSA_high,1,49,[np.int64(2)],0.0
BNB_high,7,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",1.0
DIA_open,0,49,[],0.0
GOOG_close,1,49,[np.int64(2)],0.0
AVGO_close,0,49,[],0.0
KO_low,0,49,[],0.0
TSLA_high,0,49,[],0.0
VOO_adjusted_close,0,49,[],0.0
VTSAX_adjusted_close,0,49,[],0.0
GVZ.INDX_close,0,49,[],0.0
VSMAX_adjusted_close,6,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",1.0
AVGO_high,0,49,[],0.0
EURGBP_close_fract,0,49,[],0.0
USO_low,1,49,[np.int64(2)],0.0
FXAIX_high,0,49,[],0.0
EURCHF_high,0,49,[],0.0
DJI.INDX_low,0,49,[],0.0
HBAR_high,0,49,[],0.0
USDJPY_close_fract,0,49,[],0.0
NFLX_open,0,49,[],0.0
AUDJPY_high,0,49,[],0.0
AUDUSD_open_fract,0,49,[],0.0
CADCHF_volume,0,49,[],0.0
TMUS_close,0,49,[],0.0
AUDCAD_volume_fract,6,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",1.0
AUDNZD_low,2,49,"[np.int64(2), np.int64(2)]",1.0
GOOGL_high,3,49,"[np.int64(2), np.int64(2), np.int64(2)]",1.0
META_open,0,49,[],0.0
IVV_high,0,49,[],0.0
VTI_adjusted_close,0,49,[],0.0
VTI_open,0,49,[],0.0
VVIX.INDX_adjusted_close,4,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",1.0
AUDCHF_high_fract,0,49,[],0.0
EURGBP_close,0,49,[],0.0
NKE_low,0,49,[],0.0
EURUSD_high_fract,0,49,[],0.0
USDJPY_volume_fract,0,49,[],0.0
DJI.INDX_close,0,49,[],0.0
AUDJPY_close_fract,4,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",1.0
PEP_open,0,49,[],0.0
XOM_adjusted_close,0,49,[],0.0
AMD_low,0,49,[],0.0
QNT_high,0,49,[],0.0
KO_close,0,49,[],0.0
META_volume,0,49,[],0.0
XLM_adjusted_close,0,49,[],0.0
