,months_causal,total_months,causality_strength,stability_score
USDCHF_high_fract,0,49,[],0.0
XAGUSD_adjusted_close,0,49,[],0.0
BAC_open,0,49,[],0.0
CADCHF_volume_fract,0,49,[],0.0
HSI.INDX_adjusted_close,0,49,[],0.0
ATOM_volume,0,49,[],0.0
XLM_high,0,49,[],0.0
AUDJPY_low_fract,3,49,"[np.int64(2), np.int64(2), np.int64(2)]",1.0
TMUS_adjusted_close,0,49,[],0.0
AGG_high,3,49,"[np.int64(2), np.int64(2), np.int64(2)]",1.0
AUDNZD_high,2,49,"[np.int64(2), np.int64(2)]",1.0
CADJPY_high_fract,0,49,[],0.0
EURJPY_close_fract,1,49,[np.int64(2)],0.0
VVIX.INDX_close,4,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",1.0
XAUUSD_open,0,49,[],0.0
FIL_close,0,49,[],0.0
HBAR_volume,0,49,[],0.0
ADBE_open,4,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",1.0
GBPUSD_close,0,49,[],0.0
CHFJPY_low_fract,0,49,[],0.0
GBPUSD_high,0,49,[],0.0
XPTUSD_adjusted_close,0,49,[],0.0
EURJPY_volume,0,49,[],0.0
MCD_open,0,49,[],0.0
BSESN.INDX_adjusted_close,6,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",1.0
GOOG_volume,0,49,[],0.0
XLK_open,0,49,[],0.0
TMUS_low,0,49,[],0.0
TRX_close,0,49,[],0.0
CRM_low,0,49,[],0.0
VWUSX_low,0,49,[],0.0
SPY_open,0,49,[],0.0
NFLX_volume,0,49,[],0.0
PG_volume,6,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",1.0
XAUUSD_high,0,49,[],0.0
VXD.INDX_low,7,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",1.0
META_close,0,49,[],0.0
GOOGL_volume,2,49,"[np.int64(2), np.int64(2)]",1.0
MCD_low,0,49,[],0.0
AMZN_open,0,49,[],0.0
AUDUSD_close,0,49,[],0.0
EURJPY_open_fract,0,49,[],0.0
PG_open,0,49,[],0.0
SWTSX_open,0,49,[],0.0
BAC_high,0,49,[],0.0
LLY_high,0,49,[],0.0
EURJPY_open,0,49,[],0.0
CMCSA_low,1,49,[np.int64(2)],0.0
SOYB_adjusted_close,0,49,[],0.0
EURJPY_close,0,49,[],0.0
NDX.INDX_open,0,49,[],0.0
VOO_high,0,49,[],0.0
AVGO_low,0,49,[],0.0
CRM_volume,7,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",1.0
VSMAX_high,7,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",1.0
VIMAX_high,0,49,[],0.0
QQQ_high,0,49,[],0.0
SOYB_volume,1,49,[np.int64(2)],0.0
BCH_close,5,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",1.0
VSMAX_low,7,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",1.0
MA_low,0,49,[],0.0
VXD.INDX_open,7,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",1.0
CHFJPY_low,0,49,[],0.0
USDCHF_low_fract,0,49,[],0.0
VIX.INDX_adjusted_close,2,49,"[np.int64(2), np.int64(2)]",1.0
BAC_volume,0,49,[],0.0
SKEW.INDX_open,0,49,[],0.0
DOGE_close,0,49,[],0.0
UNG_adjusted_close,0,49,[],0.0
LTC_close,0,49,[],0.0
AUDCAD_low_fract,7,49,"[np.int64(3), np.int64(3), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",0.8023576471041616
CHFJPY_open_fract,6,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",1.0
NDX.INDX_high,0,49,[],0.0
EURAUD_volume_fract,0,49,[],0.0
XPTUSD_open,2,49,"[np.int64(2), np.int64(2)]",1.0
FXAIX_low,0,49,[],0.0
DIS_high,0,49,[],0.0
V_high,0,49,[],0.0
AUDUSD_open,0,49,[],0.0
LTC_low,5,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",1.0
ETH_low,5,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",1.0
AUDNZD_open_fract,0,49,[],0.0
CORN_close,0,49,[],0.0
AMD_volume,0,49,[],0.0
AUDCAD_open_fract,0,49,[],0.0
HSI.INDX_close,0,49,[],0.0
KO_open,0,49,[],0.0
QQQ_open,0,49,[],0.0
EURCHF_open_fract,0,49,[],0.0
IBEX.INDX_high,0,49,[],0.0
USDJPY_low,0,49,[],0.0
CRM_high,0,49,[],0.0
CADCHF_open_fract,0,49,[],0.0
VOO_low,0,49,[],0.0
PEP_low,0,49,[],0.0
IVV_low,0,49,[],0.0
XRP_low,0,49,[],0.0
AGG_volume,0,49,[],0.0
LINK_volume,0,49,[],0.0
WEAT_close,0,49,[],0.0
BLK_open,0,49,[],0.0
VIMAX_open,0,49,[],0.0
EURGBP_open,0,49,[],0.0
EURUSD_volume_fract,0,49,[],0.0
AUDNZD_low_fract,0,49,[],0.0
CORN_low,0,49,[],0.0
VXN.INDX_low,0,49,[],0.0
XAGUSD_low,0,49,[],0.0
LINK_low,0,49,[],0.0
META_high,0,49,[],0.0
AUDCHF_open_fract,0,49,[],0.0
GLD_high,0,49,[],0.0
TXN_low,0,49,[],0.0
IBEX.INDX_close,4,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",1.0
INTC_volume,0,49,[],0.0
CADCHF_close_fract,7,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",1.0
VIX.INDX_open,0,49,[],0.0
ATOM_high,0,49,[],0.0
LINK_open,0,49,[],0.0
VTI_volume,0,49,[],0.0
AUDJPY_open_fract,0,49,[],0.0
COST_volume,2,49,"[np.int64(2), np.int64(2)]",1.0
CHFJPY_open,3,49,"[np.int64(2), np.int64(2), np.int64(2)]",1.0
EURJPY_volume_fract,0,49,[],0.0
CRM_close,4,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",1.0
USDCAD_high_fract,0,49,[],0.0
HSI.INDX_high,0,49,[],0.0
XOM_open,0,49,[],0.0
ORCL_volume,0,49,[],0.0
AUDCHF_close,0,49,[],0.0
USDCAD_close,0,49,[],0.0
AUDCHF_volume,0,49,[],0.0
ORCL_adjusted_close,0,49,[],0.0
TXN_close,0,49,[],0.0
NVDA_high,0,49,[],0.0
GBPUSD_close_fract,7,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",1.0
DIA_volume,0,49,[],0.0
AVGO_volume,0,49,[],0.0
ETH_volume,0,49,[],0.0
AMZN_adjusted_close,0,49,[],0.0
EURCAD_close,0,49,[],0.0
NVDA_close,0,49,[],0.0
USDCHF_volume_fract,0,49,[],0.0
BLK_close,0,49,[],0.0
BAC_close,2,49,"[np.int64(2), np.int64(2)]",1.0
EURUSD_open,0,49,[],0.0
